"code","dose","colony","newday","day30","phase","tubetemp","tubehumidity","temp","humidity","startweight","startage","doublefeeder","meanco2","suc40ml","suc5ml","buzz","sit","walk","wave","totalactive","totalinactive","totaldistance","binaryactive","totalsuc"
"B9B16",200,9,10,20,"on",25.4,38.1,25.6,38.1,0.182,3,1,24.28080808,0.334183673,"NA",0,300,0,0,0,300,0,"No",0.334183673
"B9B17",200,9,7,15,"on",25.2,29,25.6,29,0.376,3,2,14.3704698,0.445153061,0.078094303,0,91,61,148,61,239,60,"Yes",0.523247364
"B9B17",200,9,7,25,"Recovery",25,38.1,25.6,38.1,0.376,3,2,9.493939394,0.435090703,0.138179437,0,300,0,0,0,300,0,"No",0.57327014
"B9B18",200,9,7,15,"on",25.1,36,25.5,36,0.202,3,2,22.38187919,0.508078231,0.029960707,23,9,250,18,273,27,232.5,"Yes",0.538038938
"B9B18",200,9,7,25,"Recovery",25.4,29,25.6,29,0.202,3,2,6.882222222,0.275226758,0.145055665,0,1,0,299,0,300,0,"No",0.420282423
"B9B18",200,9,10,20,"on",25.4,38.1,25.6,38.1,0.202,3,2,20.45757576,0.932823129,0.203339882,0,7,243,50,243,57,225,"Yes",1.136163011
"B9B19",200,9,7,15,"on",25.2,29,25.6,29,0.266,2,1,16.52308725,0.356717687,"NA",6,12,186,96,192,108,180,"Yes",0.356717687
"B9B19",200,9,7,25,"Recovery",25.3,30,25.6,30,0.266,2,1,35.41212121,0.35515873,"NA",0,13,186,101,186,114,150,"Yes",0.35515873
"B9B19",200,9,10,30,"Recovery",25.2,38.1,25.6,38.1,0.266,2,1,15.68686869,0.54138322,"NA",9,3,0,288,9,291,0,"Yes",0.54138322
"B9B2",0,9,7,15,"on",25.1,36,25.5,36,0.284,5,1,5.782684564,0.263180272,"NA",0,11,64,225,64,236,60,"Yes",0.263180272
"B9B2",0,9,7,25,"Recovery",25,29,25.6,29,0.284,5,1,17.77737374,0.466269841,"NA",8,3,126,163,134,166,195,"Yes",0.466269841
"B9B2",0,9,10,20,"on",25.3,34,25.6,34,0.284,5,1,11.86484848,0.350907032,"NA",0,9,126,165,126,174,67.5,"Yes",0.350907032
"B9B2",0,9,10,30,"Recovery",25,38.1,25.6,38.1,0.284,5,1,12.09717172,0.380385487,"NA",6,7,283,4,289,11,210,"Yes",0.380385487
