Year	GDP
1833	33794.1730579527
1834	34983.2507914307
1835	37097.5585858484
1836	38067.6574116729
1837	37743.5020358701
1838	39586.2238239449
1839	40484.4493679828
1840	40614.2275463242
1841	39484.2155221442
1842	39152.8533879413
1843	40410.450630158
1844	43558.3134901258
1845	45576.8721672371
1846	48211.7228199534
1847	47672.1077244016
1848	48733.6527742583
1849	49121.7566311693
1850	48431.6932694395
1851	50533.0926651068
1852	52065.3879790204
1853	53991.679622174
1854	56303.5276328359
1855	55665.7277894569
1856	58181.8274173194
1857	58773.657548844
1858	58568.5250954442
1859	60800.0809733971
1860	62355.5074223987
1861	63498.5255265139
1862	62992.0285872773
1863	66439.3212640397
1864	67403.2308222872
1865	70608.6029079645
1866	71602.6797142592
1867	71988.7908319452
1868	74874.8465898392
1869	76757.912138622
1870	82871.0304439824
1871	87729.2860443903
1872	88092.7191494467
1873	88708.8132573423
1874	92471.6615713069
1875	93242.0448401806
1876	93568.4637301534
1877	94340.4199456388
1878	94294.5276393615
1879	92472.4426206877
1880	99439.1393591047
1881	102032.395759689
1882	103728.498310562
1883	106880.120071776
1884	105690.716495789
1885	104574.433533171
1886	104932.228975249
1887	109518.216413523
1888	113241.543465645
1889	116980.127821895
1890	118162.884936587
1891	121795.392231805
1892	118736.704924125
1893	117668.280746001
1894	123579.09707472
1895	127646.577800419
1896	133058.366218469
1897	135018.590602432
1898	141725.576445724
1899	147256.98071345
1900	147356.115159384
1901	150837.211850013
1902	153241.46676868
1903	151616.938323608
1904	153714.129319711
1905	158930.458590537
1906	162943.221320664
1907	167046.720089407
1908	160491.735708773
1909	164368.442306605
1910	169147.273103047
1911	174586.786219299
1912	177559.546610276
1913	185317.068466255
1914	188941.965652244
1915	199234.883558736
1916	201399.844872333
1917	200171.134566076
1918	203905.577002253
1919	187815.619577796
1920	176886.647757423
1921	159748.589407374
1922	168268.794042869
1923	173293.690791395
1924	181514.451764198
1925	187944.736405774
1926	182122.529512188
1927	196173.162706848
1928	197969.179442956
1929	203663.962555483
1930	202088.958819121
1931	192757.251225931
1932	193012.558954246
1933	199278.893468551
1934	211304.405883427
1935	219259.618250795
1936	229862.430096115
1937	238059.37187898
1938	240060.467842458
1939	250784.604601771
1940	275845.644763977
1941	300056.563680887
1942	305632.009005562
1943	311081.901705118
1944	297583.346243149
1945	284155.766937781
1946	277347.000047308
1947	273982.352598615
1948	282805.820613355
1949	292553.325545948
1950	302432.392027191
1951	313963.211989408
1952	319153.042236604
1953	336988.625414353
1954	351676.758870787
1955	365337.389186344
1956	371470.055623528
1957	378804.184938446
1958	383828.176104268
1959	399831.172749973
1960	425187.83493507
1961	436822.65980229
1962	441843.922101295
1963	463646.341625877
1964	489586.778045226
1965	500278.911411364
1966	508384.538467695
1967	522807.618830208
1968	551593.092201695
1969	562495.728100099
1970	578087.176950353
1971	598523.029977267
1972	623323.011058491
1973	663648.785392656
1974	646955.772415947
1975	637048.016131362
1976	655374.275394508
1977	671223.694084742
1978	699077.361795019
1979	724873.972309164
1980	709767.279194529
1981	703930.416959235
1982	718494.301262747
1983	749209.881486137
1984	766651.292322341
1985	799170.449957222
1986	824800.834181052
1987	869459.768716333
1988	920259.286552321
1989	944521.713859195
1990	951789.745523145
1991	941631.009050745
1992	944231.821314031
1993	967095.522293027
1994	1003827.44428971
1995	1028124.81815278
1996	1053443.94991075
1997	1085473.50399497
1998	1124396.82344449
1999	1164714.57184355
2000	1201398.08686859
2001	1237291.17702322
2002	1269280.55069885
2003	1315118.7884131
2004	1344096.07045509
2005	1380757.11353757
2006	1410161.41510606
2007	1450845.25577638
2008	1438727.91773439
2009	1380762.00234147
2010	1409476.82382843
2011	1429365.74147625
2012	1455375.42215638
2013	1483697.32776322
2014	1534813.80768871
2015	1571981.592854
2016	1600371.86947123
